,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,seulement,only
4,4,4,police,police
5,5,5,aide,help
6,6,6,demande,request
7,7,7,genre,kind
8,8,8,mois,month
9,9,9,frère,brother
10,10,10,laisser,let
11,11,11,car,because
12,12,12,mettre,to put
13,13,13,aucun,no
14,14,15,eux,them
15,15,16,ville,city
16,16,17,chaque,each
17,17,18,parlé,speak
18,18,19,arrivé,come
19,19,20,devrait,should
20,20,21,heures,hours
21,21,22,vont,will
22,22,23,pendant,while
23,24,25,place,square
24,25,27,compris,understood
25,26,28,savais,knew
26,27,29,étaient,were
27,28,30,attention,Warning
28,29,31,voici,here is
29,30,32,pourrais,could
30,31,33,affaire,case
31,32,34,donner,give
32,34,36,leurs,their
33,35,37,donné,given
34,36,38,train,train
35,37,39,endroit,place
36,38,40,façon,way
37,39,41,écoute,listen
38,40,42,dont,whose
39,41,43,premier,first
40,42,44,main,hand
41,43,45,première,first
42,44,46,côté,side
43,45,47,pouvoir,power
44,46,48,vieux,old
45,47,49,sois,be
46,48,50,matin,morning
47,49,51,tellement,so much
48,51,53,point,point
49,52,54,venu,came
50,53,55,pardon,sorry
51,54,57,devant,in front of
52,55,59,minutes,minutes
53,56,60,demandé,request
54,57,61,chambre,bedroom
55,58,62,mis,placed
56,59,63,belle,beautiful
57,60,64,droit,law
58,61,65,aujourd'hui,today
59,62,66,mari,husband
60,63,68,enfin,finally
61,64,69,espère,hope
62,65,70,eau,water
63,66,71,attendez,Wait
64,67,72,parti,left
65,68,73,nouvelle,new
66,69,74,boulot,job
67,70,75,dirait,would say
68,71,76,terre,Earth
69,72,77,compte,account
70,73,78,donne,given
71,74,80,fin,end
72,75,81,croire,believe
73,76,82,gros,large
74,77,83,plutôt,rather
75,78,84,aura,will have
76,79,85,filles,girls
77,80,86,jouer,to play
78,81,87,bureau,office
